Epoque: 0.59 [83/140 (59%)]	Loss: 0.6481	Error: 5.297
Epoque: 0.59 [84/140 (59%)]	Loss: 0.5980	Error: 4.648
Epoque: 0.60 [85/140 (60%)]	Loss: 0.5951	Error: 5.223
Epoque: 0.61 [86/140 (61%)]	Loss: 0.5852	Error: 4.732
Epoque: 0.61 [87/140 (61%)]	Loss: 0.5807	Error: 5.052
Epoque: 0.62 [88/140 (62%)]	Loss: 0.5740	Error: 5.030
Epoque: 0.63 [89/140 (63%)]	Loss: 0.5862	Error: 5.230
Epoque: 0.64 [90/140 (64%)]	Loss: 0.5667	Error: 4.682
Epoque: 0.64 [91/140 (64%)]	Loss: 0.5695	Error: 5.242
Epoque: 0.65 [92/140 (65%)]	Loss: 0.5562	Error: 4.641
Epoque: 0.66 [93/140 (66%)]	Loss: 0.5937	Error: 5.149
Epoque: 0.66 [94/140 (66%)]	Loss: 0.5555	Error: 4.775
Epoque: 0.67 [95/140 (67%)]	Loss: 0.5621	Error: 5.245
Epoque: 0.68 [96/140 (68%)]	Loss: 0.5713	Error: 5.116
Epoque: 0.69 [97/140 (69%)]	Loss: 0.5489	Error: 4.715
Epoque: 0.69 [98/140 (69%)]	Loss: 0.5468	Error: 5.109
Epoque: 0.70 [99/140 (70%)]	Loss: 0.5657	Error: 5.076
Epoque: 0.71 [100/140 (71%)]	Loss: 0.5364	Error: 4.790
Epoque: 0.71 [101/140 (71%)]	Loss: 0.5702	Error: 5.153
Epoque: 0.72 [102/140 (72%)]	Loss: 0.5356	Error: 4.757
Epoque: 0.73 [103/140 (73%)]	Loss: 0.5304	Error: 4.872
Epoque: 0.74 [104/140 (74%)]	Loss: 0.5382	Error: 5.019
Epoque: 0.74 [105/140 (74%)]	Loss: 0.5369	Error: 4.937
Epoque: 0.75 [106/140 (75%)]	Loss: 0.5284	Error: 4.699
Epoque: 0.76 [107/140 (76%)]	Loss: 0.5415	Error: 5.020
Epoque: 0.76 [108/140 (76%)]	Loss: 0.5666	Error: 5.056
Epoque: 0.77 [109/140 (77%)]	Loss: 0.5576	Error: 5.200
Epoque: 0.78 [110/140 (78%)]	Loss: 0.5374	Error: 4.977
Epoque: 0.79 [111/140 (79%)]	Loss: 0.5094	Error: 4.720
Epoque: 0.79 [112/140 (79%)]	Loss: 0.4995	Error: 4.656
Epoque: 0.80 [113/140 (80%)]	Loss: 0.5353	Error: 5.060
Epoque: 0.81 [114/140 (81%)]	Loss: 0.5280	Error: 5.031
Epoque: 0.81 [115/140 (81%)]	Loss: 0.5335	Error: 5.127
Epoque: 0.82 [116/140 (82%)]	Loss: 0.5206	Error: 5.002
Epoque: 0.83 [117/140 (83%)]	Loss: 0.5078	Error: 4.799
Epoque: 0.84 [118/140 (84%)]	Loss: 0.5325	Error: 5.272
Epoque: 0.84 [119/140 (84%)]	Loss: 0.5009	Error: 4.691
Epoque: 0.85 [120/140 (85%)]	Loss: 0.5043	Error: 4.708
Epoque: 0.86 [121/140 (86%)]	Loss: 0.4850	Error: 4.911
Epoque: 0.86 [122/140 (86%)]	Loss: 0.5077	Error: 5.187
Epoque: 0.87 [123/140 (87%)]	Loss: 0.4758	Error: 4.884
Epoque: 0.88 [124/140 (88%)]	Loss: 0.4926	Error: 5.158
Epoque: 0.89 [125/140 (89%)]	Loss: 0.5038	Error: 5.554
Epoque: 0.89 [126/140 (89%)]	Loss: 0.4939	Error: 5.878
Epoque: 0.90 [127/140 (90%)]	Loss: 0.4945	Error: 5.480
Epoque: 0.91 [128/140 (91%)]	Loss: 0.4844	Error: 4.882
Epoque: 0.91 [129/140 (91%)]	Loss: 0.5108	Error: 5.440
Epoque: 0.92 [130/140 (92%)]	Loss: 0.4932	Error: 5.143
Epoque: 0.93 [131/140 (93%)]	Loss: 0.4615	Error: 4.875
Epoque: 0.94 [132/140 (94%)]	Loss: 0.4558	Error: 4.532
Epoque: 0.94 [133/140 (94%)]	Loss: 0.4570	Error: 4.735
Epoque: 0.95 [134/140 (95%)]	Loss: 0.4406	Error: 4.603
Epoque: 0.96 [135/140 (96%)]	Loss: 0.4467	Error: 4.538
Epoque: 0.96 [136/140 (96%)]	Loss: 0.4494	Error: 4.950
Epoque: 0.97 [137/140 (97%)]	Loss: 0.4735	Error: 5.033
Epoque: 0.98 [138/140 (98%)]	Loss: 0.4760	Error: 4.942
Epoque: 0.99 [139/140 (99%)]	Loss: 0.4500	Error: 4.856
Epoque: 0.99 [140/140 (99%)]	Loss: 0.4457	Error: 4.812
Epoque: 1.00 [1/140 (0%)]	Loss: 0.4569	Error: 4.974
Epoque: 1.01 [2/140 (1%)]	Loss: 0.4323	Error: 4.600
Epoque: 1.01 [3/140 (1%)]	Loss: 0.4228	Error: 4.544
Epoque: 1.02 [4/140 (2%)]	Loss: 0.4569	Error: 5.097
Epoque: 1.03 [5/140 (3%)]	Loss: 0.4203	Error: 4.726
Epoque: 1.04 [6/140 (4%)]	Loss: 0.4496	Error: 5.173
Epoque: 1.04 [7/140 (4%)]	Loss: 0.4198	Error: 4.775
Epoque: 1.05 [8/140 (5%)]	Loss: 0.4205	Error: 4.588
Epoque: 1.06 [9/140 (6%)]	Loss: 0.4644	Error: 5.135
Epoque: 1.06 [10/140 (6%)]	Loss: 0.4477	Error: 5.156
Epoque: 1.07 [11/140 (7%)]	Loss: 0.3928	Error: 4.613
Epoque: 1.08 [12/140 (8%)]	Loss: 0.4200	Error: 4.823
Epoque: 1.09 [13/140 (9%)]	Loss: 0.3969	Error: 4.552
Epoque: 1.09 [14/140 (9%)]	Loss: 0.4090	Error: 4.633
Epoque: 1.10 [15/140 (10%)]	Loss: 0.3931	Error: 4.571
Epoque: 1.11 [16/140 (11%)]	Loss: 0.4158	Error: 4.970
Epoque: 1.11 [17/140 (11%)]	Loss: 0.4147	Error: 4.914
Epoque: 1.12 [18/140 (12%)]	Loss: 0.4164	Error: 4.899
Epoque: 1.13 [19/140 (13%)]	Loss: 0.3889	Error: 4.609
Epoque: 1.14 [20/140 (14%)]	Loss: 0.3938	Error: 4.607
Epoque: 1.14 [21/140 (14%)]	Loss: 0.3921	Error: 4.773
Epoque: 1.15 [22/140 (15%)]	Loss: 0.3833	Error: 4.659
Epoque: 1.16 [23/140 (16%)]	Loss: 0.4224	Error: 5.131
Epoque: 1.16 [24/140 (16%)]	Loss: 0.3698	Error: 4.386
Epoque: 1.17 [25/140 (17%)]	Loss: 0.3908	Error: 4.753
Epoque: 1.18 [26/140 (18%)]	Loss: 0.3844	Error: 4.718
Epoque: 1.19 [27/140 (19%)]	Loss: 0.3969	Error: 4.629
Epoque: 1.19 [28/140 (19%)]	Loss: 0.3707	Error: 4.534
Epoque: 1.20 [29/140 (20%)]	Loss: 0.3767	Error: 4.726
Epoque: 1.21 [30/140 (21%)]	Loss: 0.3813	Error: 4.643
Epoque: 1.21 [31/140 (21%)]	Loss: 0.3838	Error: 4.903
Epoque: 1.22 [32/140 (22%)]	Loss: 0.3780	Error: 4.632
Epoque: 1.23 [33/140 (23%)]	Loss: 0.3572	Error: 4.548
Epoque: 1.24 [34/140 (24%)]	Loss: 0.4109	Error: 5.169
Epoque: 1.24 [35/140 (24%)]	Loss: 0.3728	Error: 4.841
Epoque: 1.25 [36/140 (25%)]	Loss: 0.3351	Error: 4.278
Epoque: 1.26 [37/140 (26%)]	Loss: 0.3688	Error: 4.960
Epoque: 1.26 [38/140 (26%)]	Loss: 0.3488	Error: 4.372
Epoque: 1.27 [39/140 (27%)]	Loss: 0.3517	Error: 4.522
Epoque: 1.28 [40/140 (28%)]	Loss: 0.3655	Error: 4.758
Epoque: 1.29 [41/140 (29%)]	Loss: 0.3370	Error: 4.397
Epoque: 1.29 [42/140 (29%)]	Loss: 0.3555	Error: 4.622
Epoque: 1.30 [43/140 (30%)]	Loss: 0.3474	Error: 4.551
Epoque: 1.31 [44/140 (31%)]	Loss: 0.3439	Error: 4.590
Epoque: 1.31 [45/140 (31%)]	Loss: 0.3309	Error: 4.394
Epoque: 1.32 [46/140 (32%)]	Loss: 0.3288	Error: 4.421
Epoque: 1.33 [47/140 (33%)]	Loss: 0.3263	Error: 4.506
Epoque: 1.34 [48/140 (34%)]	Loss: 0.3379	Error: 4.687
Epoque: 1.34 [49/140 (34%)]	Loss: 0.3820	Error: 5.120
Epoque: 1.35 [50/140 (35%)]	Loss: 0.3399	Error: 4.751
Epoque: 1.36 [51/140 (36%)]	Loss: 0.3355	Error: 4.638
Epoque: 1.36 [52/140 (36%)]	Loss: 0.3605	Error: 5.057
Epoque: 1.37 [53/140 (37%)]	Loss: 0.3432	Error: 5.003
Epoque: 1.38 [54/140 (38%)]	Loss: 0.3394	Error: 5.162
Epoque: 1.39 [55/140 (39%)]	Loss: 0.3233	Error: 4.968
Epoque: 1.39 [56/140 (39%)]	Loss: 0.3262	Error: 4.623
Epoque: 1.40 [57/140 (40%)]	Loss: 0.3152	Error: 4.439
Epoque: 1.41 [58/140 (41%)]	Loss: 0.3256	Error: 5.030
Epoque: 1.41 [59/140 (41%)]	Loss: 0.3183	Error: 4.644
Epoque: 1.42 [60/140 (42%)]	Loss: 0.3136	Error: 4.687
Epoque: 1.43 [61/140 (43%)]	Loss: 0.2921	Error: 4.325
Epoque: 1.44 [62/140 (44%)]	Loss: 0.3093	Error: 4.538
Epoque: 1.44 [63/140 (44%)]	Loss: 0.3121	Error: 4.673
Epoque: 1.45 [64/140 (45%)]	Loss: 0.2981	Error: 4.242
Epoque: 1.46 [65/140 (46%)]	Loss: 0.3218	Error: 4.857
Epoque: 1.46 [66/140 (46%)]	Loss: 0.3065	Error: 4.519
Epoque: 1.47 [67/140 (47%)]	Loss: 0.2996	Error: 4.595
Epoque: 1.48 [68/140 (48%)]	Loss: 0.3185	Error: 4.799
Epoque: 1.49 [69/140 (49%)]	Loss: 0.2941	Error: 4.470
Epoque: 1.49 [70/140 (49%)]	Loss: 0.3250	Error: 4.961
Epoque: 1.50 [71/140 (50%)]	Loss: 0.2955	Error: 4.631
Epoque: 1.51 [72/140 (51%)]	Loss: 0.2886	Error: 4.468
Epoque: 1.51 [73/140 (51%)]	Loss: 0.3011	Error: 4.964
Epoque: 1.52 [74/140 (52%)]	Loss: 0.2977	Error: 4.888
Epoque: 1.53 [75/140 (53%)]	Loss: 0.2868	Error: 4.541
Epoque: 1.54 [76/140 (54%)]	Loss: 0.2979	Error: 4.891
Epoque: 1.54 [77/140 (54%)]	Loss: 0.2759	Error: 4.279
Epoque: 1.55 [78/140 (55%)]	Loss: 0.2977	Error: 4.800
Epoque: 1.56 [79/140 (56%)]	Loss: 0.3140	Error: 5.015
Epoque: 1.56 [80/140 (56%)]	Loss: 0.2835	Error: 4.448
Epoque: 1.57 [81/140 (57%)]	Loss: 0.2795	Error: 4.591
Epoque: 1.58 [82/140 (58%)]	Loss: 0.2713	Error: 4.426
Epoque: 1.59 [83/140 (59%)]	Loss: 0.2646	Error: 4.162
Epoque: 1.59 [84/140 (59%)]	Loss: 0.2897	Error: 4.839
Epoque: 1.60 [85/140 (60%)]	Loss: 0.2949	Error: 4.748
Epoque: 1.61 [86/140 (61%)]	Loss: 0.2964	Error: 4.954
Epoque: 1.61 [87/140 (61%)]	Loss: 0.2605	Error: 4.338
Epoque: 1.62 [88/140 (62%)]	Loss: 0.2790	Error: 4.662
Epoque: 1.63 [89/140 (63%)]	Loss: 0.2776	Error: 4.771
Epoque: 1.64 [90/140 (64%)]	Loss: 0.2740	Error: 4.856
Epoque: 1.64 [91/140 (64%)]	Loss: 0.2810	Error: 4.587
Epoque: 1.65 [92/140 (65%)]	Loss: 0.2631	Error: 4.572
Epoque: 1.66 [93/140 (66%)]	Loss: 0.2635	Error: 4.336
Epoque: 1.66 [94/140 (66%)]	Loss: 0.2660	Error: 4.483
Epoque: 1.67 [95/140 (67%)]	Loss: 0.2432	Error: 4.396
Epoque: 1.68 [96/140 (68%)]	Loss: 0.2693	Error: 4.605
Epoque: 1.69 [97/140 (69%)]	Loss: 0.3024	Error: 4.925
Epoque: 1.69 [98/140 (69%)]	Loss: 0.2548	Error: 4.415
Epoque: 1.70 [99/140 (70%)]	Loss: 0.2544	Error: 4.624
Epoque: 1.71 [100/140 (71%)]	Loss: 0.2391	Error: 4.496
Epoque: 1.71 [101/140 (71%)]	Loss: 0.2720	Error: 4.644
Epoque: 1.72 [102/140 (72%)]	Loss: 0.2875	Error: 5.028
Epoque: 1.73 [103/140 (73%)]	Loss: 0.2626	Error: 4.591
Epoque: 1.74 [104/140 (74%)]	Loss: 0.2522	Error: 4.605
Epoque: 1.74 [105/140 (74%)]	Loss: 0.2692	Error: 4.653
Epoque: 1.75 [106/140 (75%)]	Loss: 0.2596	Error: 4.567
Epoque: 1.76 [107/140 (76%)]	Loss: 0.2352	Error: 3.759
Epoque: 1.76 [108/140 (76%)]	Loss: 0.2479	Error: 4.490
Epoque: 1.77 [109/140 (77%)]	Loss: 0.2486	Error: 4.580
Epoque: 1.78 [110/140 (78%)]	Loss: 0.2627	Error: 4.946
Epoque: 1.79 [111/140 (79%)]	Loss: 0.2817	Error: 5.115
Epoque: 1.79 [112/140 (79%)]	Loss: 0.2532	Error: 4.824
Epoque: 1.80 [113/140 (80%)]	Loss: 0.2445	Error: 4.559
Epoque: 1.81 [114/140 (81%)]	Loss: 0.2466	Error: 4.438
Epoque: 1.81 [115/140 (81%)]	Loss: 0.2344	Error: 4.597
Epoque: 1.82 [116/140 (82%)]	Loss: 0.2319	Error: 4.477
Epoque: 1.83 [117/140 (83%)]	Loss: 0.2246	Error: 4.363
Epoque: 1.84 [118/140 (84%)]	Loss: 0.2329	Error: 4.350
Epoque: 1.84 [119/140 (84%)]	Loss: 0.2372	Error: 4.559
Epoque: 1.85 [120/140 (85%)]	Loss: 0.2543	Error: 4.981
Epoque: 1.86 [121/140 (86%)]	Loss: 0.2375	Error: 4.514
Epoque: 1.86 [122/140 (86%)]	Loss: 0.2526	Error: 4.663
Epoque: 1.87 [123/140 (87%)]	Loss: 0.2435	Error: 4.733
Epoque: 1.88 [124/140 (88%)]	Loss: 0.2262	Error: 4.441
Epoque: 1.89 [125/140 (89%)]	Loss: 0.2231	Error: 4.344
Epoque: 1.89 [126/140 (89%)]	Loss: 0.2252	Error: 4.877
Epoque: 1.90 [127/140 (90%)]	Loss: 0.2432	Error: 4.817
Epoque: 1.91 [128/140 (91%)]	Loss: 0.2222	Error: 4.455
Epoque: 1.91 [129/140 (91%)]	Loss: 0.2288	Error: 4.642
Epoque: 1.92 [130/140 (92%)]	Loss: 0.2304	Error: 4.650
Epoque: 1.93 [131/140 (93%)]	Loss: 0.2353	Error: 4.672
Epoque: 1.94 [132/140 (94%)]	Loss: 0.2191	Error: 4.385
Epoque: 1.94 [133/140 (94%)]	Loss: 0.2326	Error: 4.798
Epoque: 1.95 [134/140 (95%)]	Loss: 0.2401	Error: 4.656
Epoque: 1.96 [135/140 (96%)]	Loss: 0.2642	Error: 5.064
Epoque: 1.96 [136/140 (96%)]	Loss: 0.2214	Error: 4.433
Epoque: 1.97 [137/140 (97%)]	Loss: 0.2415	Error: 4.721
Epoque: 1.98 [138/140 (98%)]	Loss: 0.2884	Error: 5.217
Epoque: 1.99 [139/140 (99%)]	Loss: 0.2397	Error: 5.026
Epoque: 1.99 [140/140 (99%)]	Loss: 0.2142	Error: 4.643
Epoque: 2.00 [1/140 (0%)]	Loss: 0.2231	Error: 4.811
Epoque: 2.01 [2/140 (1%)]	Loss: 0.2332	Error: 4.835
Epoque: 2.01 [3/140 (1%)]	Loss: 0.2127	Error: 4.719
Epoque: 2.02 [4/140 (2%)]	Loss: 0.2147	Error: 4.410
Epoque: 2.03 [5/140 (3%)]	Loss: 0.2199	Error: 4.626
Epoque: 2.04 [6/140 (4%)]	Loss: 0.2281	Error: 4.749
Epoque: 2.04 [7/140 (4%)]	Loss: 0.2208	Error: 4.757
Epoque: 2.05 [8/140 (5%)]	Loss: 0.2155	Error: 4.708
Epoque: 2.06 [9/140 (6%)]	Loss: 0.2827	Error: 5.340
Epoque: 2.06 [10/140 (6%)]	Loss: 0.2032	Error: 4.417
Epoque: 2.07 [11/140 (7%)]	Loss: 0.2115	Error: 4.463
Epoque: 2.08 [12/140 (8%)]	Loss: 0.2067	Error: 4.787
Epoque: 2.09 [13/140 (9%)]	Loss: 0.2162	Error: 4.802
Epoque: 2.09 [14/140 (9%)]	Loss: 0.1853	Error: 3.564
Epoque: 2.10 [15/140 (10%)]	Loss: 0.2015	Error: 4.368
Epoque: 2.11 [16/140 (11%)]	Loss: 0.2253	Error: 4.651
Epoque: 2.11 [17/140 (11%)]	Loss: 0.2007	Error: 4.548
Epoque: 2.12 [18/140 (12%)]	Loss: 0.1978	Error: 4.369
Epoque: 2.13 [19/140 (13%)]	Loss: 0.2135	Error: 4.627
Epoque: 2.14 [20/140 (14%)]	Loss: 0.2146	Error: 4.593
Epoque: 2.14 [21/140 (14%)]	Loss: 0.1882	Error: 4.266
Epoque: 2.15 [22/140 (15%)]	Loss: 0.2193	Error: 4.941
Epoque: 2.16 [23/140 (16%)]	Loss: 0.1943	Error: 4.443
Epoque: 2.16 [24/140 (16%)]	Loss: 0.1885	Error: 4.224
Epoque: 2.17 [25/140 (17%)]	Loss: 0.1947	Error: 4.427
Epoque: 2.18 [26/140 (18%)]	Loss: 0.2079	Error: 4.669
Epoque: 2.19 [27/140 (19%)]	Loss: 0.2012	Error: 4.535
Epoque: 2.19 [28/140 (19%)]	Loss: 0.1969	Error: 4.744
Epoque: 2.20 [29/140 (20%)]	Loss: 0.2077	Error: 4.818
Epoque: 2.21 [30/140 (21%)]	Loss: 0.1912	Error: 4.500
Epoque: 2.21 [31/140 (21%)]	Loss: 0.1913	Error: 4.389
Epoque: 2.22 [32/140 (22%)]	Loss: 0.1912	Error: 4.468
Epoque: 2.23 [33/140 (23%)]	Loss: 0.1970	Error: 4.678
Epoque: 2.24 [34/140 (24%)]	Loss: 0.2221	Error: 4.756
Epoque: 2.24 [35/140 (24%)]	Loss: 0.1954	Error: 4.423
Epoque: 2.25 [36/140 (25%)]	Loss: 0.2053	Error: 4.850
Epoque: 2.26 [37/140 (26%)]	Loss: 0.1888	Error: 4.433
Epoque: 2.26 [38/140 (26%)]	Loss: 0.1844	Error: 4.285
Epoque: 2.27 [39/140 (27%)]	Loss: 0.2023	Error: 4.829
Epoque: 2.28 [40/140 (28%)]	Loss: 0.2182	Error: 4.903
Epoque: 2.29 [41/140 (29%)]	Loss: 0.2197	Error: 4.809
Epoque: 2.29 [42/140 (29%)]	Loss: 0.2034	Error: 4.830
Epoque: 2.30 [43/140 (30%)]	Loss: 0.2043	Error: 4.845
Epoque: 2.31 [44/140 (31%)]	Loss: 0.1915	Error: 4.790
Epoque: 2.31 [45/140 (31%)]	Loss: 0.1893	Error: 4.612
Epoque: 2.32 [46/140 (32%)]	Loss: 0.1930	Error: 4.823
Epoque: 2.33 [47/140 (33%)]	Loss: 0.1843	Error: 4.448
Epoque: 2.34 [48/140 (34%)]	Loss: 0.1880	Error: 4.682
Epoque: 2.34 [49/140 (34%)]	Loss: 0.1784	Error: 4.302
Epoque: 2.35 [50/140 (35%)]	Loss: 0.1992	Error: 4.816
Epoque: 2.36 [51/140 (36%)]	Loss: 0.2273	Error: 5.052
Epoque: 2.36 [52/140 (36%)]	Loss: 0.1889	Error: 4.562
Epoque: 2.37 [53/140 (37%)]	Loss: 0.1958	Error: 5.032
Epoque: 2.38 [54/140 (38%)]	Loss: 0.2094	Error: 5.137
Epoque: 2.39 [55/140 (39%)]	Loss: 0.1808	Error: 4.661
Epoque: 2.39 [56/140 (39%)]	Loss: 0.1981	Error: 5.484
Epoque: 2.40 [57/140 (40%)]	Loss: 0.2005	Error: 5.203
